"","HG00096","HG00103","HG00106","HG00111","HG00116","HG00126","HG00132","HG00149","HG00150","HG00176"
"82",0.00119790102340052,0.00191850892505736,0.00214995135807706,0.00109619030543335,0.000669608727377153,0.00184786615944862,0.000706208894455513,0.00322864841861097,0.00188893643544871,0.00320746907761249
"83",0.152075695978401,0.0684985347610505,0.113562725755651,0.167252054938955,0.334926331655977,0.153270406778898,0.167579527822469,0.173491488090089,0.146731171323841,0.203832632621144
"84",0.00274777362698532,0.00399969064855753,0.00317879192770879,0.00261906374710903,0.00177752062541293,0.00274887601660027,0.00260526841431737,0.00259873854676571,0.00280878930707369,0.00239241523537493
"85",0.312052808487323,0.335201042656075,0.399507986615939,0.30399940039897,0.280239254470613,0.395964647183552,0.231868224221549,0.524149612259009,0.396391212967018,0.538906815879108
"86",0.627152075661033,0.770871130596208,0.776908128503275,0.59842970518606,0.419750857400601,0.733917689823281,0.473907551939184,0.835947905454512,0.740511392677092,0.83012551031173
"87",0.0116936018709137,0.0120318789659819,0.00477709500732513,0.0124218478289682,0.0122500246094445,0.0044071623086452,0.0325027627902164,0.00105539895493487,0.00446506810439617,0.000841372319919045
"88",0.907983519491356,0.799436348227686,0.891136322567018,0.916316307249866,0.965285688677547,0.921703586673515,0.902796940379781,0.945782887252945,0.917709303195592,0.956825815253176
"89",0.00171150868039467,0.00217454329758449,0.00195692238070044,0.00165511882749673,0.00129192640315361,0.00178937371833465,0.00157819517262492,0.00184102469174621,0.00181320533116204,0.00176388723571549
"90",0.928056628477159,0.931722952766563,0.925983427094843,0.92782537385641,0.923906652949314,0.924197494956634,0.931465514084484,0.917611866217443,0.924469333944591,0.915698147255574
"91",0.00158832733389905,0.00075497707043308,0.000984004949622517,0.00177022998725977,0.00381960706832331,0.00129315842956286,0.00219496844244523,0.00107322729839766,0.00124208235074217,0.00120739515780176
"92",0.01092785981325,0.00231065183121787,0.00777997166056988,0.013065745137684,0.061926058717725,0.0144323096197104,0.0100915798734384,0.0271600545542356,0.0131676775337501,0.0402743716197674
"93",0.00163704392720594,0.00516910976146119,0.00200440352599598,0.00143788400897955,0.000439995642850031,0.00126005611084142,0.0018400685702335,0.000723739320333712,0.0013503129566867,0.000529347680259157
"94",0.00121944970010451,0.00374141478546943,0.00167259869742128,0.00106561353553465,0.000335431697460302,0.00107371230480339,0.00119268132590406,0.000753215845893335,0.00114687573290543,0.000571531378209728
"95",0.94040202926776,0.924164235502311,0.936784025122693,0.942079676087953,0.954989773817292,0.942606673430428,0.940046357886391,0.947643965667412,0.941773334956077,0.950819807420214
"96",0.00153609391404932,0.00158245554057562,0.00102024303424106,0.00157665209773886,0.00154010581895114,0.000976642331727746,0.00247757689991452,0.000503381591070012,0.000983488982133981,0.0004517565951716
"97",0.00100552818800759,0.00135166712332442,0.00116560445367144,0.000965981634077611,0.000711529137693181,0.00104215776527087,0.000928464041757655,0.00104978033804655,0.00105956934458302,0.000991433353933151
"98",0.911284119812596,0.874434563800736,0.90294749603498,0.914929990059736,0.941325471852172,0.91565676657363,0.910935499441946,0.925796437485073,0.913866663504393,0.932258569266466
