"","intron_motif","startID","endID","maxCount","quantileValueN","passedExpression","passed","maxDJaccard","passedVariability","b_jaccard","rho_jaccard","hgnc_symbol","annotatedJunction"
"81","GT-AG",48,710,82,154.2,TRUE,TRUE,0.14316679483578,TRUE,-0.27984886312152,0.0210846919031517,"AP000295.1;IFNAR2","start"
"82","GT-AG",48,718,1,141.85,FALSE,FALSE,0.00936621518016867,FALSE,-6.45315311503986,0.000213035664783143,"AP000295.1;IFNAR2","start"
"83","GT-AG",49,714,1,4.1,FALSE,FALSE,0.166666666666667,TRUE,-1.66705913511214,0.00752500489977869,"AP000295.1;IFNAR2","none"
"84","GT-AG",49,715,1,65.75,FALSE,FALSE,0.0225,FALSE,-5.91296800387949,0.00164031632494077,"AP000295.1;IFNAR2;IL10RB","end"
"85","GT-AG",49,719,1,2,FALSE,FALSE,0.333333333333333,TRUE,-0.544241771052179,0.0124436645117376,"AP000295.1;IFNAR2;IL10RB","none"
"86","GC-AG",50,720,3,2.1,FALSE,FALSE,0,FALSE,0.822977775008189,0.971795944975521,"AP000295.1;IFNAR2","none"
"87","GT-AG",51,715,4,65.75,FALSE,FALSE,0.0688072392077398,TRUE,-5.11027818241991,0.0245907757823493,"AP000295.1;IL10RB","end"
"88","GT-AG",52,715,63,68.3,TRUE,TRUE,0.106258448974462,TRUE,2.45564593692602,0.00481518854672342,"AP000295.1;IL10RB","both"
"89","GT-AG",52,716,3,173,FALSE,FALSE,0.0180320039279577,FALSE,-6.35033010870036,0.00407996467368532,"AP000295.1;IL10RB","end"
"90","GT-AG",53,716,119,125.05,TRUE,TRUE,0.0691945636986943,TRUE,2.51581615156992,0.00590883922606955,"AP000295.1;IL10RB","both"
"91","GT-AG",53,721,1,124.5,FALSE,FALSE,0.00697674418604651,FALSE,-6.54656821919696,0.000351869471109209,"AP000295.1;IL10RB","start"
"92","GT-AG",53,722,10,279.05,FALSE,FALSE,0.0200192061455557,FALSE,-4.23400522617508,0.00626218782043403,"AP000295.1;IL10RB","end"
"93","GT-AG",54,722,1,171.35,FALSE,FALSE,0.00867356718420548,FALSE,-6.65061562113602,0.000219892460396578,"AP000295.1;IL10RB","end"
"94","GT-AG",55,723,1,161.95,FALSE,FALSE,0.00841121495327103,FALSE,-6.85197840206418,0.000836433232142534,"AP000295.1;IL10RB","start"
"95","GT-AG",55,722,166,171.8,TRUE,TRUE,0.0596490320834739,TRUE,2.79909790103867,0.000251471728690042,"AP000295.1;IL10RB","both"
"96","GT-AG",55,719,2,161.95,FALSE,FALSE,0.0114649681528662,FALSE,-6.78834996349363,0.00682916191698251,"AP000295.1;IL10RB","start"
"97","GT-AG",56,722,1,171.35,FALSE,FALSE,0.00588235294117647,FALSE,-6.89172238959855,0.000265488225688151,"AP000295.1;IL10RB","end"
"98","GT-AG",57,724,126,133.9,TRUE,FALSE,0.0457851048571927,FALSE,2.38686356795799,6.99834333253154e-05,"AP000295.1;IL10RB","both"
"99","GT-AG",58,725,156,149.9,TRUE,TRUE,0.0667655492190949,TRUE,2.71161522325166,0.000671230958656957,"AP000295.1;IL10RB","both"
"100","GT-AG",58,726,3,311,FALSE,FALSE,0.010971926852212,FALSE,-6.46078318008538,0.000708524885301797,"AP000295.1;IL10RB","end"
"101","GT-AG",59,725,1,148.35,FALSE,FALSE,0.00545454545454545,FALSE,-6.72446001322074,0.000210225399030657,"AP000295.1;IL10RB","end"
"102","GT-AG",60,727,2,166.2,FALSE,FALSE,0.0107142857142857,FALSE,-6.88776601022134,0.0030585678559161,"AP000295.1;IL10RB","start"
"103","GT-AG",60,728,1,166.2,FALSE,FALSE,0.00689024390243902,FALSE,-6.71238872769416,0.000111810184234369,"AP000295.1;IL10RB","start"
"104","GT-AG",60,726,164,174.1,TRUE,TRUE,0.0697902420930654,TRUE,2.69477220298708,0.013935539734058,"AP000295.1;IL10RB","both"
"105","GT-AG",60,729,1,166.2,FALSE,FALSE,0.00535714285714286,FALSE,-6.95302896861205,0.000296996417175728,"AP000295.1;IL10RB","start"
"106","GT-AG",60,730,1,166.2,FALSE,FALSE,0.00714285714285714,FALSE,-6.95282944654357,0.000476573621410195,"AP000295.1;IL10RB","start"
"107","GT-AG",60,731,2,166.2,FALSE,FALSE,0.0104649187241009,FALSE,-6.16565290651575,0.000367465702828351,"AP000295.1;IL10RB","start"
"108","GT-AG",60,732,1,166.2,FALSE,FALSE,0.00833333333333333,FALSE,-6.95269625437423,0.000670860611575281,"AP000295.1;IL10RB","start"
"109","GT-AG",61,726,1,170.65,FALSE,FALSE,0.00756302521008403,FALSE,-6.96268393466356,0.00049642893995313,"AP000295.1;IL10RB","end"
"110","GT-AG",62,733,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000008335434,NA,"none"
"111","GT-AG",63,734,2,1.55,FALSE,FALSE,0,FALSE,0.544241771052179,0.977716158884026,"ITSN1","both"
"112","GT-AG",64,735,2,1.55,FALSE,FALSE,0,FALSE,1.26361035289169,0.953136285143741,"ITSN1","both"
"113","GT-AG",65,736,2,2,FALSE,FALSE,0,FALSE,1.63272531315654,0.975192466429068,"ITSN1","both"
"114","GT-AG",66,737,2,2,FALSE,FALSE,0,FALSE,1.80785212394387,0.970547183673108,"ITSN1","both"
"115","GT-AG",67,738,1,1,FALSE,FALSE,0.875,TRUE,-1.43873716367902,0.49999998333598,"ITSN1","start"
"116","GT-AG",67,739,1,1,FALSE,FALSE,0.625,TRUE,0.479579054559675,0.499999703021675,"ITSN1","both"
"117","GT-AG",67,740,1,1,FALSE,FALSE,0.75,TRUE,-0.959158109119348,0.499999912361222,"ITSN1","start"
"118","GT-AG",68,741,2,1.55,FALSE,FALSE,0,FALSE,0.784031298332016,0.934890474533781,"ITSN1","both"
"119","GT-AG",69,742,5,3.65,FALSE,FALSE,0,FALSE,0.937424334324611,0.978605573663485,"ITSN1","both"
"120","GT-AG",70,743,4,3.55,FALSE,FALSE,0,FALSE,1.77752322940697,0.984208656765132,"ITSN1","both"
"121","GT-AG",71,744,2,1.55,FALSE,FALSE,0,FALSE,1.74318940745136,0.953902226434038,"ITSN1","both"
"122","GT-AG",72,745,2,2,FALSE,FALSE,0,FALSE,1.80785212394387,0.959247289014901,"ITSN1","both"
"123","GT-AG",73,746,1,2,FALSE,FALSE,0.375,TRUE,-0.784031298332016,0.0106385128277629,"ITSN1","start"
"124","GT-AG",73,747,2,2,FALSE,FALSE,0.375,TRUE,0.784031298332016,0.0106384959839226,"ITSN1","both"
"125","GT-AG",74,748,3,3,FALSE,FALSE,0,FALSE,1.83994369949389,0.98678305709726,"ITSN1","both"
"126","GT-AG",75,749,4,3.55,FALSE,FALSE,0,FALSE,1.8032394692233,0.986537402878192,"ITSN1","both"
"127","GT-AG",76,750,4,3.1,FALSE,FALSE,0,FALSE,1.52450346526729,0.988701828386777,"ITSN1","both"
"128","GT-AG",77,751,5,4.1,FALSE,FALSE,0,FALSE,1.92867401899398,0.989747873188905,"ITSN1","both"
"129","GT-AG",78,752,3,2.55,FALSE,FALSE,0,FALSE,1.91146131711255,0.983319576589624,"ITSN1","both"
"130","GT-AG",79,753,5,4.55,FALSE,FALSE,0,FALSE,2.3669361885625,0.986189650345396,"ITSN1","both"
"131","GT-AG",80,754,3,3,FALSE,FALSE,0,FALSE,2.0540169869574,0.986968432053705,"ITSN1","both"
"132","GT-AG",81,755,4,4,FALSE,FALSE,0,FALSE,2.21354315256991,0.985529471141776,"ITSN1","both"
"133","GT-AG",82,756,2,2,FALSE,FALSE,0,FALSE,1.3282730693842,0.981278803033718,"ITSN1","both"
"134","GT-AG",83,757,1,1,FALSE,FALSE,0,FALSE,1.19894763639919,0.499999846440691,"ITSN1","both"
"135","GT-AG",84,758,2,1.55,FALSE,FALSE,0,FALSE,1.74318940745137,0.899604759645826,"ITSN1","both"
"136","GT-AG",85,759,4,2.65,FALSE,FALSE,0.5,TRUE,0.131567679390593,0.989626953507429,"ITSN1","both"
"137","GT-AG",85,760,1,3.1,FALSE,FALSE,0.8,TRUE,-0.980261694215115,0.991178029932227,"ITSN1","start"
"138","GT-AG",86,761,1,1,FALSE,FALSE,0,FALSE,0.719368581839511,0.500000008338161,"ITSN1","both"
