"","x"
"87",0.0245907757823493
"88",0.00481518854672342
"89",0.00407996467368532
"90",0.00590883922606955
"91",0.000351869471109209
"92",0.00626218782043403
"93",0.000219892460396578
"94",0.000836433232142534
"95",0.000251471728690042
"96",0.00682916191698251
"97",0.000265488225688151
"98",6.99834333253154e-05
"99",0.000671230958656957
"100",0.000708524885301797
"101",0.000210225399030657
"102",0.0030585678559161
"103",0.000111810184234369
"104",0.013935539734058
"105",0.000296996417175728
"106",0.000476573621410195
"107",0.000367465702828351
"108",0.000670860611575281
"109",0.00049642893995313
"110",0.500000008335434
"111",0.977716158884026
"112",0.953136285143741
"113",0.975192466429068
"114",0.970547183673108
"115",0.49999998333598
"116",0.499999703021675
"117",0.499999912361222
"118",0.934890474533781
"119",0.978605573663485
"120",0.984208656765132
"121",0.953902226434038
"122",0.959247289014901
"123",0.0106385128277629
"124",0.0106384959839226
"125",0.98678305709726
"126",0.986537402878192
"127",0.988701828386777
"128",0.989747873188905
"129",0.983319576589624
"130",0.986189650345396
"131",0.986968432053705
"132",0.985529471141776
"133",0.981278803033718
"134",0.499999846440691
"135",0.899604759645826
"136",0.989626953507429
"137",0.991178029932227
"138",0.500000008338161
"139",0.986996099998958
"140",0.988217896431928
"141",0.977965084920338
"142",0.499999999997727
"143",0.0148356683692026
"144",0.00520206275275415
"145",0.00342496837398749
"146",0.00611047006379335
"147",0.00436450274857945
"148",0.281703088334639
"149",0.0218846749107189
"150",0.0385408551587668
"151",0.500000122733007
"152",0.299900296326294
"153",0.259534697778437
"154",0.981196297374427
"155",0.499999947750721
"156",0.0129986264308295
"157",0.500000046432499
"158",0.00456982393891627
"159",0.00456981164782619
"160",0.000197824282490383
"161",0.0110125833425672
"162",0.000631361416322329
"163",0.00730741126667105
"164",6.09619322465532e-05
"165",0.000537947044476197
"166",0.00223606391696091
"167",0.00515812175774294
"168",0.00409878843210434
"169",0.000328778123783442
"170",0.000141246920608399
"171",0.0174190812197196
"172",0.000384978670872519
"173",6.84928282348045e-05
"174",0.000461983830288084
"175",0.000210021031732048
"176",0.000184042858143373
"177",0.0148104341349147
"178",0.0402743643282374
"179",0.000492767340990343
"180",0.00288943995163093
"181",0.499999965255526
"182",0.0186843521370536
"183",5.07545706801778e-05
"184",0.000713890574827674
"185",0.499999991672702
"186",0.00688875555962248
"187",0.0029528889345878
"188",0.00216150054763816
"189",0.500000072077643
"190",0.500000046432499
"191",0.500000046432499
"192",0.49999991007907
"193",0.499999999997727
"194",0.000571179999675805
"195",0.00147765912174035
"196",0.00808826644288026
"197",0.921577633569055
"198",0.921577598957963
"199",0.0635736686557195
"200",0.000810470375466353
"201",0.030143077127895
"202",0.000328372604981527
"203",0.00234369790927792
"204",0.0383179534835174
"205",0.0155880487015817
"206",0.0133309303397906
"207",0.00535131708478003
"208",0.0010811408941298
"209",0.00686866945700766
"210",0.0127537280238156
"211",0.00205002406580977
"212",0.500000008335434
"213",0.987303751204544
"214",0.987303742783851
"215",0.49999991007907
"216",0.976350758781204
"217",0.499999999990703
"218",0.499999943136996
"219",0.987329492555323
"220",0.986868019037838
"221",0.981874916581233
"222",0.968730313177504
"223",0.0279166765473904
"224",0.0279166768818743
"225",0.98192664962315
"226",0.978179132202449
"227",0.97804610027147
"228",0.974095254828271
"229",0.0286682941073383
"230",0.0592975884066432
"231",0.000914179120326271
"232",0.977925339760414
"233",0.978363753444665
"234",0.039938472580238
"235",0.000278606945323359
"236",0.00303068056345808
"237",0.0494057618663131
"238",0.00315365105833514
"239",0.000639602628532351
"240",0.000151426131901042
"241",0.000115514505012197
"242",0.000183314035014574
"243",0.0214429616189143
"244",0.00155859272222034
"245",0.0215553261617325
"246",0.00621817039214016
"247",0.000216561840227159
"248",0.000468562050702328
"249",0.500000056969131
"250",0.49999999999866
"251",0.499999934489463
"252",0.500000052046802
"253",0.499999999998181
"254",0.500000081923408
"255",0.00143573133761855
"256",0.00203169592134941
"257",0.00191783145490827
"258",0.00352858262268478
"259",0.981319409456995
"260",0.00116080705197674
"261",0.000604559557000327
"262",0.00105031084321807
"263",0.00266795618413436
"264",0.00168791811682183
"265",0.00326857097696876
"266",0.951748380591938
"267",0.983432210717741
"268",0.980526821563702
"269",0.00145295630578471
"270",0.980755548881156
"271",0.00212405623832569
"272",0.000898431443165657
"273",0.00100269277402863
"274",0.980942099432525
"275",0.0620552982041716
"276",0.0145095846054466
"277",0.00143364116307159
"278",0.00340930565546203
"279",0.00207334161543208
"280",0.000346867222409915
"281",0.000346869162966205
"282",0.00226769349316488
"283",0.00226769349365728
"284",0.0122756762538989
"285",0.975645217011983
