HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176
2	3	1	1	2	2	2	1	0	0
0	0	1	0	1	0	0	2	1	1
0	0	1	0	1	0	0	2	1	1
0	0	1	0	1	0	0	2	1	1
0	0	0	0	0	1	0	0	0	0
1	0	0	0	0	0	0	1	0	2
1	0	0	0	0	0	0	1	0	2
0	1	0	0	0	1	0	1	0	3
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	2	0	0
0	0	1	1	0	0	0	1	0	0
0	0	0	0	0	0	0	1	0	1
0	0	1	1	0	0	1	0	0	2
1	0	2	1	0	1	1	2	0	1
1	0	0	2	0	0	0	1	0	2
0	0	1	0	0	1	0	5	0	1
0	0	3	0	0	0	0	0	0	2
0	0	1	0	0	1	0	0	0	3
0	2	1	0	0	0	1	0	0	1
0	3	0	0	0	0	1	0	1	0
0	1	0	0	0	0	0	1	1	0
0	2	1	0	0	0	0	1	0	0
0	2	2	1	0	0	0	1	0	1
0	0	2	0	0	0	0	0	1	2
0	1	0	0	0	0	0	0	0	1
0	1	0	0	0	1	0	1	0	1
0	0	0	0	0	1	0	1	0	1
0	2	1	0	0	0	0	0	0	1
0	0	0	1	0	0	0	1	0	0
0	0	0	0	1	1	0	1	0	0
1	1	0	1	1	1	0	1	0	1
0	1	1	0	2	1	0	0	0	0
0	4	2	0	1	1	0	1	0	2
0	0	1	0	0	2	0	1	0	0
1	2	1	0	0	0	0	0	0	2
0	3	2	0	0	1	0	2	0	1
1	1	0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	0
0	3	0	1	0	0	0	1	1	1
0	3	0	1	0	0	0	1	1	1
2	2	0	1	0	1	0	1	2	1
1	1	1	4	0	1	0	1	2	2
0	2	0	0	0	0	0	1	1	0
1	7	0	1	0	3	1	1	0	0
0	8	1	3	0	2	2	1	1	1
0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	1	0	4
0	0	0	0	1	0	0	2	0	4
0	0	0	0	0	1	0	2	1	6
0	0	0	0	0	0	0	0	0	1
0	0	0	0	1	0	0	1	0	3
0	0	0	0	1	0	0	1	0	3
0	0	0	0	0	0	0	2	0	2
0	0	0	0	0	1	0	2	1	3
0	0	0	0	0	1	0	1	1	3
0	0	0	0	0	1	0	1	1	3
0	0	0	0	3	1	0	2	0	5
0	0	0	0	3	1	0	2	0	5
0	0	0	0	3	1	0	3	0	5
0	0	0	0	0	0	0	0	0	1
0	0	0	0	2	0	0	3	0	4
0	1	0	0	3	4	0	0	1	6
0	2	0	3	4	6	0	0	0	5
0	1	0	4	4	3	0	0	0	2
0	2	0	4	2	2	2	2	0	4
0	0	0	3	3	3	0	1	0	4
0	3	0	1	1	3	1	4	0	4
0	5	0	2	3	7	2	7	0	8
0	5	0	1	3	7	1	7	0	5
0	2	0	1	2	5	1	5	0	5
0	4	0	1	4	6	0	3	0	3
0	4	0	1	3	6	0	3	0	2
0	0	1	3	4	2	0	3	0	4
0	1	3	4	7	9	0	6	0	5
0	1	2	2	4	7	0	3	0	1
0	2	1	0	2	2	0	3	0	5
0	2	1	0	2	2	0	3	0	5
1	1	0	2	3	2	0	1	0	2
2	0	0	0	0	2	0	3	0	1
0	0	0	0	2	0	0	3	0	1
0	0	1	0	1	0	0	1	0	1
0	0	1	0	0	1	0	1	0	1
0	0	1	0	0	1	0	1	1	1
0	0	1	0	0	0	0	0	1	1
0	0	1	0	0	0	0	1	1	1
0	0	1	0	0	2	1	1	0	0
0	0	0	0	0	1	1	1	1	1
0	0	0	0	0	1	1	0	1	1
0	0	0	0	0	1	0	0	0	1
0	0	0	0	0	0	0	0	1	2
0	0	0	0	0	1	0	0	2	0
0	0	1	0	0	4	0	0	1	0
0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	4	0	0	1	0
0	0	2	0	0	0	0	0	0	0
0	0	2	0	1	1	0	0	1	0
1	1	3	0	1	1	0	1	0	0
0	0	0	0	1	1	0	1	1	0
1	2	1	0	0	0	0	1	0	0
0	0	1	0	0	0	0	1	0	0
1	0	2	0	0	1	0	0	0	0
0	1	1	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	1
1	0	0	0	1	0	0	0	0	0
1	0	0	0	2	1	0	0	0	0
1	0	0	0	1	1	0	0	0	0
1	0	0	0	1	1	0	0	0	0
0	0	0	0	1	1	0	2	0	1
0	0	0	0	0	2	0	1	1	3
1	1	1	2	0	0	1	6	1	1
1	0	5	2	2	3	0	3	0	0
3	0	2	2	2	1	0	2	0	0
1	2	2	2	1	0	2	1	3	2
1	2	2	2	2	1	5	1	2	2
4	2	4	6	2	0	5	1	3	4
2	2	2	2	1	0	3	1	2	2
1	0	1	0	0	0	0	0	1	0
0	0	1	2	1	3	4	1	0	0
0	1	1	3	2	3	4	1	1	2
3	1	2	4	2	3	8	1	2	2
4	1	2	4	1	0	6	0	2	2
3	0	2	2	1	0	1	1	1	2
3	1	2	4	1	0	5	0	2	2
4	0	6	0	4	2	4	1	1	2
4	0	6	0	4	2	4	1	1	2
4	0	6	0	4	2	4	1	1	2
4	0	6	0	4	2	4	1	1	2
4	0	6	0	4	2	4	1	1	2
1	0	0	0	0	0	0	0	0	0
60	61	75	79	102	134	90	71	100	56
57	58	72	73	102	128	89	70	98	55
57	58	72	73	103	129	89	70	98	55
74	77	95	95	114	191	109	80	105	75
16	18	20	15	12	57	15	8	6	19
62	68	80	84	106	152	97	69	101	66
67	59	75	72	87	151	98	80	76	60
68	70	90	78	98	162	111	86	79	71
141	136	186	198	237	286	251	203	182	125
63	67	89	74	91	155	106	84	75	70
59	68	81	75	77	101	115	90	71	70
49	56	71	68	63	91	101	73	64	53
77	80	113	129	153	136	156	125	108	65
71	76	110	127	128	132	150	121	104	62
91	89	126	141	166	134	158	133	105	96
92	91	129	142	166	139	160	133	106	98
60	59	81	93	63	76	70	60	61	66
60	59	81	93	62	76	70	60	60	66
60	59	81	93	62	76	70	60	60	66
72	66	92	107	69	84	76	65	67	70
107	114	134	143	110	153	118	101	96	113
83	82	111	120	87	126	88	89	75	89
85	85	102	123	85	106	82	93	87	85
89	78	110	125	92	121	97	83	80	86
2	2	2	5	3	1	3	0	3	0
63	78	78	77	78	107	71	61	61	73
56	70	71	66	71	100	65	51	58	70
86	90	100	101	103	147	100	77	80	91
34	42	48	34	28	61	44	38	31	33
23	24	17	27	23	27	12	33	27	19
27	27	21	34	25	34	14	35	30	19
26	27	21	34	25	34	14	34	29	19
30	21	31	36	35	48	36	27	23	22
3	0	0	0	0	0	0	1	0	0
5	1	2	2	0	0	2	0	0	0
19	7	12	14	18	4	10	7	2	14
19	8	9	14	20	4	7	7	2	14
25	10	13	16	20	4	10	7	2	14
68	33	46	31	48	31	18	28	17	45
19	7	12	14	18	4	9	7	2	14
19	7	12	14	18	4	9	7	2	14
89	43	68	29	42	44	24	44	25	39
52	28	38	17	30	27	12	21	15	31
52	28	38	17	30	27	12	21	15	31
32	16	21	10	30	20	13	14	8	15
32	16	21	10	30	20	13	14	8	15
32	16	21	10	30	20	13	14	8	15
56	24	40	25	43	24	28	24	21	17
50	18	35	24	41	18	27	22	20	14
50	18	35	24	41	18	27	22	20	14
18	5	17	15	12	3	11	9	10	1
18	5	17	15	12	3	11	9	10	1
50	18	36	25	41	18	27	22	21	14
50	18	35	24	41	18	27	22	20	14
50	18	35	24	41	18	27	22	20	14
50	18	35	24	41	18	27	22	20	14
50	18	35	24	41	18	27	22	20	14
46	12	24	28	39	20	35	8	13	6
72	21	38	30	41	22	41	27	25	9
46	12	24	28	39	20	35	8	13	6
0	1	0	1	0	1	3	1	1	0
0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	0
30	21	25	27	54	50	69	51	29	57
61	40	41	43	105	99	131	97	38	120
65	37	57	40	91	86	127	78	54	112
37	26	19	19	57	53	67	49	13	65
37	26	21	19	57	55	70	51	14	67
74	44	52	33	98	91	130	77	42	121
38	22	34	16	41	40	64	29	29	57
37	12	19	23	39	24	51	38	22	31
37	12	21	24	39	25	53	42	23	33
0	0	0	0	1	3	1	0	0	0
0	0	0	0	1	5	1	0	0	0
0	0	0	0	1	3	1	0	0	0
