HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176
155	148	172	208	224	196	218	185	170	128
2	0	1	0	1	0	1	2	1	0
0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0
136	189	197	230	219	210	271	196	204	148
0	0	0	1	0	0	0	0	0	0
5	5	3	4	4	5	4	1	4	2
0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0
7	4	3	13	7	5	6	9	8	4
0	0	0	0	0	0	0	0	3	0
4	4	7	18	4	3	9	9	5	5
0	0	0	1	0	0	2	0	1	0
121	75	108	188	102	134	117	170	113	82
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0	0
205	173	208	289	224	242	212	221	218	159
1	1	0	5	3	4	2	0	3	1
0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0
6	5	5	6	7	3	4	7	4	2
0	0	0	0	0	0	0	1	0	0
0	0	0	0	4	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0
1	6	3	3	2	1	0	6	3	1
0	3	0	0	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	1	0	0	0	0
0	1	1	0	0	1	0	0	0	0
1	0	0	0	1	1	0	1	0	0
2	3	1	1	2	2	2	1	0	0
0	0	1	0	0	0	0	1	0	1
0	0	0	0	0	0	0	1	0	0
0	0	0	0	1	0	0	0	1	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0	2
1	0	0	0	0	0	0	0	0	0
0	1	0	0	0	1	0	1	0	3
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	2	0	0
0	0	1	1	0	0	0	1	0	0
0	0	0	0	0	0	0	1	0	1
0	0	1	1	0	0	1	0	0	2
1	0	2	1	0	1	1	2	0	1
1	0	0	2	0	0	0	1	0	2
0	0	1	0	0	1	0	5	0	1
0	0	3	0	0	0	0	0	0	2
0	0	1	0	0	1	0	0	0	3
0	2	1	0	0	0	1	0	0	1
0	3	0	0	0	0	1	0	1	0
0	1	0	0	0	0	0	1	1	0
0	2	1	0	0	0	0	1	0	0
0	2	2	1	0	0	0	1	0	1
0	0	2	0	0	0	0	0	1	2
0	1	0	0	0	0	0	0	0	1
0	1	0	0	0	1	0	1	0	1
0	0	0	0	0	1	0	1	0	1
0	2	1	0	0	0	0	0	0	1
0	0	0	1	0	0	0	1	0	0
0	0	0	0	1	1	0	1	0	0
1	1	0	1	1	1	0	1	0	1
0	1	1	0	2	1	0	0	0	0
0	4	2	0	1	1	0	1	0	2
0	0	1	0	0	2	0	1	0	0
1	2	1	0	0	0	0	0	0	2
0	3	2	0	0	1	0	2	0	1
1	1	0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0
0	3	0	1	0	0	0	1	0	1
2	2	0	1	0	1	0	1	2	1
1	1	1	4	0	1	0	1	2	2
0	2	0	0	0	0	0	1	1	0
1	7	0	1	0	3	1	1	0	0
0	8	1	3	0	2	2	1	1	1
0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	3
0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	1	0	0
0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	1	0	2
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	1
0	0	0	0	2	0	0	2	0	4
0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	1	0	0
0	1	0	0	3	4	0	0	1	6
0	2	0	3	4	6	0	0	0	5
0	1	0	4	4	3	0	0	0	2
0	2	0	4	2	2	2	2	0	4
0	0	0	3	3	3	0	1	0	4
0	3	0	1	0	2	1	2	0	2
