spliceSiteID,type,HG00096,HG00103,HG00106,HG00111,HG00116,HG00126,HG00132,HG00149,HG00150,HG00176
620,Acceptor,1,1,0,3,2,4,5,1,1,2
1281,Donor,1,1,0,3,0,1,0,0,1,0
629,Acceptor,3,3,4,3,1,5,1,8,5,1
1293,Donor,2,1,1,0,1,2,1,4,0,1
631,Acceptor,5,3,2,4,2,8,4,4,2,4
1299,Donor,0,2,0,0,1,0,1,2,0,0
633,Acceptor,1,0,0,0,0,0,0,1,0,0
1300,Donor,1,0,0,2,1,2,0,1,1,0
634,Acceptor,0,1,0,3,1,4,4,7,2,3
1301,Donor,1,0,0,0,0,1,0,0,0,0
1303,Donor,2,1,0,0,2,4,2,4,2,1
639,Acceptor,0,0,0,2,1,0,1,1,0,1
1304,Donor,0,1,0,1,0,0,0,0,0,2
641,Acceptor,9,10,2,2,0,4,1,8,8,6
1312,Donor,2,2,1,1,0,3,0,2,3,3
642,Acceptor,0,0,0,0,0,0,0,1,0,0
1313,Donor,1,2,2,0,0,5,0,2,0,0
643,Acceptor,5,6,1,3,0,5,3,2,6,1
1315,Donor,5,6,4,9,4,7,4,0,3,1
646,Acceptor,9,22,12,24,6,8,14,4,6,9
1322,Donor,0,0,0,0,0,0,0,0,0,0
648,Acceptor,0,0,0,0,0,0,0,0,0,0
1323,Donor,6,10,10,19,6,6,7,6,8,4
649,Acceptor,9,19,9,13,3,10,3,3,11,1
1324,Donor,2,3,1,5,0,2,2,5,5,1
650,Acceptor,4,9,1,9,2,7,4,7,3,5
1325,Donor,7,12,4,0,1,4,6,7,3,0
652,Acceptor,12,10,6,8,2,10,4,6,8,13
1327,Donor,3,3,0,4,2,1,3,5,3,1
655,Acceptor,8,12,9,10,7,11,15,7,12,3
1329,Donor,0,0,0,0,0,0,0,0,0,0
657,Acceptor,0,0,0,0,0,0,0,0,0,0
1330,Donor,7,3,2,4,3,4,4,1,3,3
658,Acceptor,4,1,1,1,1,3,0,2,0,0
1332,Donor,0,0,0,0,0,0,0,0,0,0
